itemid,cameraid,objecttype,framenum,translation,itemheading
5db708b6da634440aa6404b49268080a,scene-0065,vehicle.car,1,0101000080D25149EA743A9B40A025833E65B48C4068BA490C022BB73F,57.61799999924639
d9bb3900210a42719a8d302976c590e2,scene-0065,movable_object.barrier,1,01010000801817A441E4E39A40708BCD95C5888B40B0726891ED7CAFBF,52.793999999950785
c726056b199148458100d617e9b75280,scene-0065,movable_object.barrier,1,01010000809983729BD2069A4033837C20F7388B403BDF4F8D976EDA3F,-0.8649999998847211
fd61d9686a6a46e58f9f3193a3274c91,scene-0069,vehicle.truck,2,01010000802ED4778CF5F59F40474CBD39C58D8D40B0C876BE9F1ACF3F,60.947999994903995
0a5b0d18c9ee45f88ec45d79fd843551,scene-0070,vehicle.bus.bendy,1,0101000080015F9D810C4D9E40DAD7E7FD6E429040508D976E1283C83F,-122.18299998882658
b07b045378eb4e5f8e146e0ab22fd990,scene-0070,vehicle.car,1,01010000807C44C806A9F69D400A57688DA3579040683BDF4F8D97BE3F,-122.93099999515135
fbc4de6584bf4bb58423c47280eaf0d2,scene-0070,vehicle.car,1,0101000080C206627957739C40995BD5A88B109040648FC2F5285CCF3F,-123.6240000101921
7f19ff8e0914413a964db55d0b1b6c3e,scene-0070,human.pedestrian.adult,1,0101000080422CEC98A3A79D402C806CA2E5D79040B89DEFA7C64BB73F,56.392000000988745
b07b045378eb4e5f8e146e0ab22fd990,scene-0070,vehicle.car,2,010100008090F20FE8A3F69D40C7CBFBA5A757904054E3A59BC420C83F,-122.93099999515135
fbc4de6584bf4bb58423c47280eaf0d2,scene-0070,vehicle.car,2,0101000080C206627957739C40995BD5A88B10904014022B8716D9CE3F,-123.6240000101921
7f19ff8e0914413a964db55d0b1b6c3e,scene-0070,human.pedestrian.adult,2,01010000808E14477BA9A59D4036955C9294D99040288716D9CEF7C33F,56.142000000988766
6cc6644a8d7f45358059b8c3f28128ab,scene-0070,vehicle.car,3,01010000804A0B222D52A99C400B0A8EF0B044924040FA7E6ABC74833F,-58.69600001134901
ac979310300e40b2bda81d8c72cce371,scene-0070,vehicle.car,3,0101000080A226785D63E29C40F04BF99A46599240F0FBA9F1D24DCA3F,-27.21600000916977
d83852c02c194b6187b20c6991b31525,scene-0070,vehicle.car,3,01010000804807632F97E09C40DC703E389EF191407C3F355EBA49D03F,-57.510000007292184
6e84327f751945d1b8198e1692a83c91,scene-0070,vehicle.truck,3,010100008026F4F56724A49C40A42557183B8D9240806ABC749318D0BF,36.01799999280801
4424dc027f6646178b218081a9b27233,scene-0070,human.pedestrian.adult,3,010100008092784B1CBB579C4099F09047770A924008D7A3703D0AC7BF,33.68999996990882
6cc6644a8d7f45358059b8c3f28128ab,scene-0070,vehicle.car,4,0101000080E4CF42DD44A99C4013B6AA4A95449240E04D62105839A43F,-58.69600001134901
ac979310300e40b2bda81d8c72cce371,scene-0070,vehicle.car,4,01010000806CC8BD1357E29C40858F84072E599240F0FBA9F1D24DCA3F,-27.21600000916977
d83852c02c194b6187b20c6991b31525,scene-0070,vehicle.car,4,01010000804807632F97E09C40DC703E389EF191407C3F355EBA49D03F,-57.510000007292184
6e84327f751945d1b8198e1692a83c91,scene-0070,vehicle.truck,4,01010000804023D38C2AA49C40A42557183B8D924074931804560ED1BF,36.01799999280801
4424dc027f6646178b218081a9b27233,scene-0070,human.pedestrian.adult,4,01010000801309564BC2559C40140C1BFE6F0D92406891ED7C3F35BEBF,31.68999996990881
6cc6644a8d7f45358059b8c3f28128ab,scene-0070,vehicle.car,5,010100008052B73E8736A99C40EC84A29E78449240F8A7C64B3789B13F,-58.69600001134901
ac979310300e40b2bda81d8c72cce371,scene-0070,vehicle.car,5,0101000080088DDEC349E29C401BD30F7415599240F0FBA9F1D24DCA3F,-27.21600000916977
d83852c02c194b6187b20c6991b31525,scene-0070,vehicle.car,5,01010000804807632F97E09C40DC703E389EF1914070BC74931804CE3F,-57.510000007292184
6e84327f751945d1b8198e1692a83c91,scene-0070,vehicle.truck,5,01010000802C758BAB2FA49C40A42557183B8D9240E0A3703D0AD7CB3F,36.01799999280801
4424dc027f6646178b218081a9b27233,scene-0070,human.pedestrian.adult,5,0101000080961DF484E5539C4058761C557910924070E9263108ACACBF,29.689999969908808
bd424635cbc94ec2a585d312b58e5bda,scene-0072,vehicle.car,7,0101000080EE0D966B058E9C402D80EA559228904016D9CEF753E3D53F,-127.64500000656967
415aaf26b552455b8126774b536cc43c,scene-0072,movable_object.barrier,7,01010000801781CE1B32219D40CB556C4B6561904084EB51B81E85C33F,142.94699999503786
01bf8fc686a9432999750576a451b0ea,scene-0072,vehicle.trailer,7,0101000080A8446559F66F9D409775A0CA7B51904080CEF753E3A59BBF,-120.00399999979885
bd424635cbc94ec2a585d312b58e5bda,scene-0072,vehicle.car,10,01010000807EFB12ABBA8C9C40FEA2C54F912990405EE5D022DBF9DE3F,-127.64500000656967
415aaf26b552455b8126774b536cc43c,scene-0072,movable_object.barrier,10,010100008038314184C3209D408E4B95A77461904060E5D022DBF9C63F,142.94699999503786
01bf8fc686a9432999750576a451b0ea,scene-0072,vehicle.trailer,10,0101000080A8446559F66F9D409775A0CA7B51904080A9F1D24D6280BF,-120.00399999979885
a84f0159a4b34134aea132e992d33b78,scene-0076,vehicle.car,10,01010000807470EF3B6578A340F2DC3FACFDCD8A40C0CAA145B6F3CD3F,176.66999999909615
86cfd21f5b904b169a9b5a4159892efc,scene-0076,vehicle.truck,10,0101000080B6F6E5B28D94A340FBCED07486EA8B40365EBA490C02E73F,2.1999999999553226
9434d387c0654de9a8cfc4a840c49769,scene-0076,vehicle.car,10,01010000804DDD07B726AAA34072A3459A27EE8B4003560E2DB29DE13F,0.9000000001859556
9434d387c0654de9a8cfc4a840c49769,scene-0076,vehicle.car,12,01010000804BB280A0CDA9A3401093ED6073F18B403ADF4F8D976EDE3F,0.9000000001859556
9434d387c0654de9a8cfc4a840c49769,scene-0076,vehicle.car,16,0101000080E776A15040A9A340B62EB28123F08B403ADF4F8D976ED63F,0.9000000001859556
3be7628ec1e4445ba1dfd1db2eb6a70b,scene-0094,vehicle.car,6,0101000080A8D366345AA79540FD299DFA920C8E408004560E2DB28DBF,-132.83100000043427
64a0b3183ac2438285dbf24e862d47f5,scene-0101,vehicle.construction,5,010100008062E53C291DFB814014DD97665B9C9740EC7C3F355EBADDBF,-120.77999999983224
07528d95220a4ba59a6bd328de634dd4,scene-0101,movable_object.trafficcone,5,0101000080E8E6A09CD75B814072E93BD16726984030DD24068195B33F,-125.90999999992127
5d71bf9d27e84644b397983fa7cf636c,scene-0101,movable_object.trafficcone,5,0101000080E09FE42EB16A814043F56773A129984038894160E5D0B23F,-123.00300000010563
414945d99ddb482c9ac51ca8a46c5100,scene-0168,vehicle.car,1,0101000080746521C2FD0A9D40C76F5301545C8B40C076BE9F1A2FAD3F,90.3580000007498
c6e303c0a71b49d99626a80fd0b4e827,scene-0168,human.pedestrian.adult,1,0101000080761581FB804E9E4021576EB33B818B40E44F8D976E12CB3F,6.569999999855411
d6347bda77204359959af52e43c280c2,scene-0168,vehicle.car,1,01010000807F8EF9C736899C40568505B5DCE18A40000000000000D83F,2.5829999997442172
b5a29327d13e47b49b52010c4f269602,scene-0168,vehicle.car,1,01010000805B1C798DB9D99D4048C64A55A6B98A40102DB29DEFA7B6BF,3.780000001571417
e43cda5a1c654be3b90f9db8b96581c2,scene-0202,human.pedestrian.adult,1,01010000804C044B7623669A40807C9B2A1AB88940408B6CE7FBA9A1BF,32.97099998004329
7549bf70c18c4a1baa8f63f3b58492bf,scene-0206,movable_object.trafficcone,1,0101000080448B6CE7BB7BA0409999999999BC8B408039B4C876BE8FBF,-90
ebf1ed7ad7f94ff0ba8cb0f138a4dbde,scene-0206,vehicle.car,1,010100008054191A2790ACA0406EF1566235988A407D3F355EBA49E8BF,2.673000012505971
679391fb87db41cc97b4b6233c8795f5,scene-0207,vehicle.truck,1,0101000080AA46BD2E1BB29D407E4E1191B4A39040CCA145B6F3FDD03F,-121.18400000027015
fd2437defb374b4a96cbd6cf3d79be26,scene-0207,vehicle.car,1,01010000801402E68C0E7C9E40402C9A84C1349040A0C420B07268913F,58.01700000004624
c7f277ddb7b44283b6b5c149ebb3afbb,scene-0207,movable_object.trafficcone,1,0101000080E8BDA0CA1CF69E4086FD4648BD4F904061E5D022DBF9EA3F,58.61699999998124
